Index;Lesion;Filename;ROI
368;122;ROI 1 - Free Hand;Norma
369;122;ROI 2 - Sphere;Max_uptake_sphere
370;122;ROI 3 - 2D Ellipse;Max_uptake_circle
371;123;ROI 1 - Free Hand;Norma
372;123;ROI 2 - Sphere;Max_uptake_sphere
373;123;ROI 3 - 2D Ellipse;Max_uptake_circle
374;124;ROI 1 - Free Hand;Norma
375;124;ROI 2 - Sphere;Max_uptake_sphere
376;124;ROI 3 - 2D Ellipse;Max_uptake_circle
377;125;ROI 1 - Free Hand;Norma
378;125;ROI 2 - Sphere;Max_uptake_sphere
379;125;ROI 3 - 2D Ellipse;Max_uptake_circle
380;126;ROI 1 - Free Hand;Norma
381;126;ROI 2 - Sphere;Max_uptake_sphere
382;126;ROI 3 - 2D Ellipse;Max_uptake_circle
383;127;ROI 1 - Free Hand;Norma
384;127;ROI 2 - Sphere;Max_uptake_sphere
385;127;ROI 3 - 2D Ellipse;Max_uptake_circle
386;128;ROI 1 - Free Hand;Norma
387;128;ROI 2 - Sphere;Max_uptake_sphere
388;128;ROI 3 - 2D Ellipse;Max_uptake_circle
389;129;ROI 1 - Free Hand;Norma
390;129;ROI 2 - Sphere;Max_uptake_sphere
391;129;ROI 3 - 2D Ellipse;Max_uptake_circle
392;130;ROI 1 - Free Hand;Norma
393;130;ROI 2 - Sphere;Max_uptake_sphere
394;130;ROI 3 - 2D Ellipse;Max_uptake_circle
395;131;ROI 1 - Free Hand;Norma
396;131;ROI 2 - Sphere;Max_uptake_sphere
397;131;ROI 3 - 2D Ellipse;Max_uptake_circle
398;132;ROI 1 - Free Hand;Norma
399;132;ROI 2 - Sphere;Max_uptake_sphere
400;132;ROI 3 - 2D Ellipse;Max_uptake_circle
401;133;ROI 1 - Free Hand;Norma
402;133;ROI 2 - Sphere;Max_uptake_sphere
403;133;ROI 3 - 2D Ellipse;Max_uptake_circle
404;134;ROI 1 - Free Hand;Norma
405;134;ROI 2 - Sphere;Max_uptake_sphere
406;134;ROI 3 - 2D Ellipse;Max_uptake_circle
407;135;ROI 1 - Free Hand;Norma
408;135;ROI 2 - Sphere;Max_uptake_sphere
409;135;ROI 3 - 2D Ellipse;Max_uptake_circle
410;136;ROI 1 - Free Hand;Norma
411;136;ROI 2 - Sphere;Max_uptake_sphere
412;136;ROI 3 - 2D Ellipse;Max_uptake_circle
413;137;ROI 1 - Free Hand;Norma
414;137;ROI 2 - Sphere;Max_uptake_sphere
415;137;ROI 3 - 2D Ellipse;Max_uptake_circle
416;138;ROI 1 - Free Hand;Norma
417;138;ROI 2 - Sphere;Max_uptake_sphere
418;138;ROI 3 - 2D Ellipse;Max_uptake_circle
419;139;ROI 1 - Free Hand;Norma
420;139;ROI 2 - Sphere;Max_uptake_sphere
